Parameters for Naive Bayes
delicious. 8 8 0
delish 1 1 0
deliver 4 1 3
delivered 3 2 1
delivered. 1 1 0
delivery 1 0 1
demanded 1 0 1
demands 1 0 1
demonstrated 1 0 1
dense 1 0 1
describe 1 1 0
described 1 1 0
descriptions. 1 1 0
desert 2 0 2
desert. 2 0 2
deserve 2 0 2
deserved 1 0 1
deserves 1 0 1
designed 2 0 2
desired. 1 0 1
despite 1 1 0
dessert 5 2 3
dessert! 1 1 0
dessert, 3 3 0
dessert. 3 2 1
dessert...) 1 1 0
desserts 3 2 1
desserts! 1 1 0
desserts. 1 1 0
desserts; 1 1 0
detailed 1 0 1
details 1 0 1
deuce? 1 0 1
deviled 1 0 1
did 14 7 7
did, 1 0 1
didn't 24 2 22
different 9 8 1
difficult 1 1 0
dime!! 1 1 0
dine 1 0 1
dined 2 1 1
diner 1 0 1
dining 11 7 4
dining, 3 2 1
dining. 1 1 0
dinner 25 16 9
dinner, 1 0 1
dinner. 7 6 1
directly 1 0 1
dirty 1 0 1
disappoint 1 1 0
disappoint. 1 1 0
disappointed 6 1 5
disappointed. 2 1 1
disappointing 1 0 1
disappointing! 1 0 1
disappointing, 1 0 1
disappointing. 1 0 1
disappoints!! 2 2 0
disaster 1 0 1
disaster, 1 0 1
discerning 1 1 0
discussed 1 0 1
discussion 1 0 1
diseased 1 0 1
dish 18 6 12
dish, 1 1 0
dish. 4 1 3
dishes 8 3 5
dishes, 1 0 1
dishes. 3 3 0
disliked 1 1 0
distance 2 1 1
distance. 1 0 1
distancing 1 1 0
distancing. 1 1 0
distaste 1 0 1
do 14 7 7
do. 1 0 1
do? 1 0 1
does 3 0 3
doesn't 4 0 4
doesn't. 1 0 1
dog 1 1 0
doing 4 2 2
doing, 1 0 1
dollar 1 1 0
dollars 1 1 0
don't 16 4 12
don't. 1 0 1
done 4 2 2
done. 1 0 1
doomed. 3 0 3
door 4 2 2
door, 2 0 2
dough 1 1 0
douse 1 0 1
down 11 7 4
down, 2 1 1
downgrade 1 0 1
downgraded 1 0 1
downgrading 1 0 1
downstairs 1 1 0
downtown 1 1 0
drastic 1 0 1
dressings 1 1 0
dribbled 1 0 1
drink 3 1 2
drink. 1 0 1
drinkers 1 0 1
drinking 3 0 3
drinks 3 2 1
drinks, 3 3 0
driving 1 0 1
drove 1 0 1
dry 3 1 2
dry. 1 0 1
duck 2 1 1
duck, 1 1 0
duck. 1 1 0
ducks 1 0 1
dumbasses, 1 0 1
dump 1 0 1
during 8 5 3
dying 1 1 0
e-mailing 1 0 1
each 12 4 8
eagerly 1 0 1
early 1 1 0
early, 1 0 1
earthy 1 0 1
easier 1 1 0
easily 2 1 1
easy 1 0 1
eat 21 7 14
eat, 1 0 1
eat. 3 1 2
eaten 4 0 4
eatery. 1 1 0
eating 8 2 6
eating. 3 0 3
eating.... 1 0 1
eats 1 0 1
eclectic 1 0 1
efficient. 2 1 1
egg 3 2 1
egg, 1 1 0
eggplant 1 1 0
eggs 6 3 3
eggs. 2 1 1
eggs... 1 0 1
either 1 0 1
either. 3 1 2
elements 6 0 6
elements, 1 0 1
elements. 2 0 2
elicit 1 0 1
else 2 0 2
else's 1 0 1
else, 1 1 0
else. 1 0 1
else? 2 0 2
elsewhere 1 0 1
elsewhere. 1 0 1
email. 1 0 1
emails. 1 0 1
emphasis 1 0 1
employees 1 1 0
empty 1 0 1
empty. 1 0 1
end 10 4 6
end, 1 0 1
end. 1 0 1
ended 3 2 1
engaging 1 1 0
enjoy 3 2 1
enjoyed 9 9 0
enjoyed. 1 1 0
enjoys 1 1 0
enough 4 3 1
enough, 1 0 1
ensued. 1 0 1
ensuring 1 1 0
enter 1 0 1
enticing, 1 0 1
entire 1 0 1
entirely 2 0 2
entree 4 3 1
entree)! 1 1 0
entrees 7 2 5
entrée. 1 1 0
entrées. 1 1 0
epic 1 0 1
equally 3 2 1
escalated 1 0 1
especially 5 2 3
espouses: 1 1 0
establishments 1 0 1
etc; 1 1 0
even 24 10 14
evening 2 1 1
evening). 1 1 0
evening. 1 1 0
event 1 1 0
ever 8 3 5
ever! 1 0 1
every 12 9 3
everyone 7 2 5
everything 9 8 1
everything, 1 1 0
exact 1 0 1
exactly 1 1 0
example, 2 0 2
exceeded 2 2 0
excellent 9 8 1
excellent, 2 2 0
excellent. 3 3 0
excels 1 1 0
except 4 0 4
exception 1 1 0
exceptional, 1 1 0
excessively 1 0 1
excited 4 2 2
exciting 1 1 0
excluding 1 0 1
excusable 1 0 1
execute 1 0 1
executed 1 1 0
execution 2 0 2
exotic. 1 0 1
expect 4 1 3
expectations 3 1 2
expectations. 4 3 1
expected 2 1 1
expected, 1 1 0
expecting 1 0 1
expecting. 1 1 0
expensive 3 0 3
expensive, 2 1 1
expensive. 1 0 1
experience 5 1 4
experience, 1 0 1
experience. 9 6 3
experienced 1 1 0
experiences 1 1 0
experiences, 1 0 1
experiencing 1 1 0
explain 2 0 2
explain: 1 1 0
explained 4 2 2
explained. 1 0 1
explanation 2 0 2
explanations 1 0 1
explode; 1 0 1
explored 1 1 0
exposition 1 0 1
extensive 1 1 0
extent. 1 0 1
extra 1 0 1
extreme 1 0 1
extremely 12 7 5
extremes 1 0 1
eyes 2 1 1
f-bombs, 1 0 1
fabulous 2 1 1
faced 1 0 1
facelift, 1 0 1
fact 3 1 2
fact, 2 1 1
fail 1 0 1
fail. 1 0 1
failed 1 1 0
failures 1 0 1
fair 1 1 0
fairly 3 2 1
fake, 1 1 0
fall, 1 1 0
falling 1 1 0
familiar 1 0 1
family 2 1 1
family, 1 1 0
family: 1 1 0
fantastic 4 2 2
fantastic! 2 2 0
fantastic!! 1 1 0
fantastic. 1 1 0
far 3 1 2
far, 1 1 0
far. 1 0 1
farm 7 7 0
farm-to-table 3 2 1
farm-to-table. 1 1 0
farmer). 1 0 1
fast 1 0 1
fat 2 0 2
fat) 1 1 0
fat, 1 0 1
fat. 1 0 1
father's 1 1 0
fatty 1 0 1
fav 1 1 0
favor 1 1 0
favorite 8 7 1
favorite. 2 1 1
favourite 1 0 1
fearful 1 1 0
feeding 1 0 1
feel 4 1 3
feeling 2 0 2
feels 2 1 1
felt 3 0 3
female 1 0 1
few 12 5 7
field 1 0 1
fifties 1 1 0
figured 1 0 1
filet 1 1 0
filled 1 1 0
filler. 1 1 0
filling 1 0 1
final 1 0 1
finally 4 2 2
find 4 1 3
fine 3 0 3
fine; 1 0 1
fingerling 1 0 1
finish 2 1 1
finish. 1 0 1
finished 3 2 1
first 14 7 7
first, 2 2 0
fish 12 5 7
fish) 1 0 1
fish, 3 2 1
fish. 2 1 1
fish:)) 1 1 0
fishes 2 2 0
fishiness 1 0 1
fits 1 1 0
five 1 0 1
fixe 1 0 1
fixed 2 1 1
fixing. 1 0 1
fixture 1 1 0
flaky 1 1 0
flapjacks. 1 1 0
flashy 1 1 0
flatbread 8 8 0
flatbread, 1 1 0
flatbreads 1 1 0
flavor 5 0 5
flavor! 1 1 0
flavor) 1 0 1
flavor, 3 2 1
flavor. 4 3 1
flavorful 1 0 1
flavorful! 1 1 0
flavorful. 3 2 1
flavorless. 1 0 1
flavors 4 1 3
flavors, 1 1 0
flavors. 2 0 2
flesh. 1 1 0
floor 1 0 1
floor. 1 1 0
flour 1 0 1
fluffy 1 1 0
flying 1 1 0
foam 2 0 2
folks 2 1 1
followed 1 1 0
food 77 31 46
food! 2 2 0
food, 11 2 9
food. 12 6 6
food: 1 1 0
foodie 1 0 1
foods. 1 0 1
foot 1 0 1
football, 1 1 0
for 153 70 83
force-fed 1 0 1
foremost, 1 1 0
forget 1 1 0
forgot 1 1 0
forks 1 1 0
forward 5 4 1
found 6 0 6
four 3 0 3
fragile 1 0 1
frankly 1 0 1
frees 1 1 0
freezing 1 1 0
frequented 1 1 0
fresco 1 1 0
fresh 24 22 2
fresh! 2 2 0
fresh, 1 1 0
fresh. 2 2 0
freshman 2 2 0
freshness 1 1 0
freshness, 1 0 1
friday. 1 0 1
fried 3 3 0
friend 5 3 2
friend's 1 1 0
friend, 2 1 1
friendly 5 3 2
friendly, 2 1 1
friendly. 4 3 1
friends 2 1 1
friends, 1 1 0
friends. 1 0 1
fries 4 4 0
friggin 1 1 0
from 36 9 27
from. 2 2 0
frommage. 1 0 1
front 4 0 4
frozen 1 1 0
fulfill 1 0 1
full 4 2 2
full, 1 0 1
full. 1 0 1
fun 2 0 2
funghi 1 0 1
funk 1 1 0
funky 1 0 1
funky, 1 0 1
funnel 1 0 1
future 1 0 1
g 1 1 0
gagging 1 0 1
gallo 1 0 1
garlic 3 2 1
gas 1 0 1
gave 6 2 4
gazpacho 1 1 0
geese--many 1 0 1
gem 2 1 1
general 2 1 1
generous 3 3 0
generous. 1 0 1
gestures 1 0 1
get 22 9 13
get, 1 1 0
gets 3 0 3
getting 4 2 2
giant, 1 1 0
gimmicky 1 0 1
ginger 5 5 0
girl 1 1 0
girls 1 1 0
give 9 1 8
given 5 3 2
giving 1 1 0
glad 1 1 0
glance 1 1 0
glass 1 1 0
glaze 1 1 0
gnocchi, 2 2 0
go 24 9 15
go, 3 1 2
go-to 1 0 1
go. 3 2 1
goat 1 1 0
gods 1 0 1
goers. 1 0 1
goi 1 1 0
going 17 9 8
going, 1 1 0
golden 4 2 2
gone 4 2 2
gone, 1 0 1
gone--it's 1 0 1
goo 1 0 1
good 43 16 27
good! 1 1 0
good!!! 1 1 0
good, 6 2 4
good. 8 4 4
good: 1 0 1
goods. 1 0 1
got 22 11 11
gotten 2 0 2
gourmet 1 0 1
grace 1 0 1
graciously 1 0 1
grads 1 1 0
grain 1 1 0
grainy 1 1 0
gras 1 0 1
gratuit 1 0 1
gratuity 1 0 1
great 46 33 13
great! 1 1 0
great, 4 2 2
great. 10 7 3
great...once 1 0 1
greatly 1 1 0
green 1 1 0
greens 3 1 2
greens, 1 0 1
grill 1 1 0
grill/fresh 1 1 0
grilled 5 4 1
grocery 1 0 1
grossed 1 0 1
group 3 0 3
grow 1 1 0
grown 1 1 0
guacamole 2 2 0
guess 1 0 1
guess, 1 0 1
guess. 1 0 1
guy, 1 1 0
guys 4 1 3
guys, 1 1 0
had 94 50 44
had. 2 2 0
hadn't 1 1 0
hair 2 0 2
half 2 1 1
halibut 1 1 0
halibut, 1 1 0
ham 2 1 1
ham/egg/cheese 1 0 1
hamachi 1 0 1
hand 4 0 4
handle 1 0 1
hands 1 1 0
hands. 1 0 1
hands? 1 0 1
happen 2 0 2
happen. 1 1 0
happened 1 0 1
happened!!! 1 0 1
happened. 2 0 2
happening. 1 0 1
happens 3 1 2
happier 1 0 1
happy 4 4 0
happy! 1 1 0
happy. 1 1 0
hard 5 2 3
hard, 2 0 2
hard. 1 0 1
harmonious 1 0 1
harsh 1 1 0
has 21 7 14
hash 1 1 0
hash. 1 1 0
hasn't 1 0 1
hasn't. 1 1 0
hate 1 0 1
have 77 28 49
haven't 2 0 2
having 6 3 3
he 14 2 12
head 2 0 2
heads 1 0 1
health 1 0 1
healthy 1 1 0
hear 2 0 2
heard 7 2 5
hearing 1 0 1
heart 1 0 1
heartbroken 1 0 1
heat, 2 1 1
heated 1 1 0
heated. 1 1 0
heater 1 1 0
heating 1 1 0
heavy. 1 0 1
heirloom 2 2 0
helped 1 1 0
helpful 2 2 0
helpful, 1 0 1
helpful. 1 1 0
hen 1 0 1
hence 1 0 1
her 9 3 6
her. 1 0 1
herbs, 1 1 0
here 32 22 10
here! 1 1 0
here, 1 0 1
here- 1 0 1
here. 9 4 5
here...stay 1 1 0
here; 1 0 1
hesitant 1 1 0
hide 1 0 1
high 3 1 2
high, 2 0 2
high-end 1 1 0
high. 1 0 1
highlight 1 1 0
highly 5 5 0
hiking, 1 0 1
him 13 0 13
his 9 0 9
hit 3 3 0
hold 1 0 1
hole 1 0 1
holiday 1 1 0
home 5 1 4
home! 1 1 0
home, 1 0 1
home-cooked 1 0 1
home. 2 0 2
homemade 4 3 1
honest 1 1 0
honest, 1 1 0
honestly 3 1 2
honestly, 1 0 1
honey 3 3 0
horrendous. 1 0 1
horrible 1 0 1
horrific. 1 0 1
hostess 1 0 1
hostile. 1 0 1
hot 1 0 1
hot, 1 0 1
hour 1 0 1
hours 1 0 1
hours! 1 0 1
hours. 1 0 1
house 1 0 1
house. 1 0 1
how 14 0 14
however 1 0 1
however. 1 0 1
huge 3 0 3
human 1 0 1
hungry 1 0 1
hungry, 1 0 1
hurried 1 0 1
husband 4 0 4
husband, 1 0 1
i 2 0 2
ice 3 0 3
ice. 1 0 1
ideas 1 0 1
if 15 0 15
ill. 1 0 1
impeccable 1 0 1
important 1 0 1
imposter 1 0 1
impress 1 0 1
impressed 1 0 1
in 77 0 77
in)... 1 0 1
in. 1 0 1
included 2 0 2
includes 1 0 1
including 3 0 3
inconsiderate! 1 0 1
inconsistent. 1 0 1
incredible 2 0 2
incredibly 1 0 1
individuals 1 0 1
inedible. 2 0 2
inexpensive 1 0 1
informed 1 0 1
infused 1 0 1
ingredient 1 0 1
ingredients 1 0 1
innovative. 1 0 1
inside. 2 0 2
insolent 1 0 1
interact 1 0 1
interesting 4 0 4
interesting. 1 0 1
interior 1 0 1
interrupt 1 0 1
intimate, 1 0 1
into 5 0 5
intriguing 1 0 1
involved 1 0 1
irreparably 1 0 1
is 79 0 79
is, 1 0 1
is? 1 0 1
isn't 1 0 1
issue 1 0 1
issue. 3 0 3
issues 2 0 2
it 62 0 62
it's 9 0 9
it, 3 0 3
it. 9 0 9
item 1 0 1
items 1 0 1
its 1 0 1
job 2 0 2
joint. 1 0 1
joking 1 0 1
joy. 1 0 1
just 21 0 21
justify 1 0 1
kale 1 0 1
kale, 1 0 1
keep 2 0 2
kicked 1 0 1
kid, 1 0 1
kids; 1 0 1
kill 1 0 1
killed 1 0 1
kind 6 0 6
kinks, 1 0 1
kitchen 5 0 5
kitchen, 1 0 1
kitchen. 1 0 1
kitchen.) 1 0 1
knew 1 0 1
know 9 0 9
knowing 2 0 2
knowledgeable. 1 0 1
la 5 0 5
labels 1 0 1
lacking 1 0 1
lacks 1 0 1
lad 1 0 1
lag 1 0 1
large 1 0 1
last 9 0 9
last. 1 0 1
late 2 0 2
late. 1 0 1
later 1 0 1
laughable 1 0 1
laughed 1 0 1
lavender 1 0 1
lean 1 0 1
leaning 2 0 2
least 5 0 5
leave 4 0 4
leave. 1 0 1
leaves, 1 0 1
leaves. 1 0 1
leaving 1 0 1
lecture 1 0 1
led 1 0 1
left 2 0 2
left. 1 0 1
legged 1 0 1
less 4 0 4
let's 1 0 1
lettuce 1 0 1
level 1 0 1
lied 1 0 1
like 28 0 28
line 1 0 1
list 1 0 1
literally 3 0 3
litmus 1 0 1
little 6 0 6
live 2 0 2
liver 1 0 1
local 1 0 1
local-organic 1 0 1
locals 1 0 1
location 2 0 2
location. 2 0 2
log; 1 0 1
lol 1 0 1
long 4 0 4
longer 1 0 1
look 2 0 2
look, 1 0 1
looked 6 0 6
looking 2 0 2
looks 2 0 2
lose 1 0 1
losing 1 0 1
lost 1 0 1
lot 5 0 5
loud 2 0 2
louder 1 0 1
love 5 0 5
loved 2 0 2
lovely. 1 0 1
loves 1 0 1
luck! 1 0 1
luke 1 0 1
lukewarm 1 0 1
lumps 1 0 1
lunch 3 0 3
lunch, 1 0 1
machine 1 0 1
madam 1 0 1
made 12 0 12
made. 1 0 1
magic 1 0 1
main 2 0 2
major 1 0 1
make 13 0 13
makes 3 0 3
male 1 0 1
man 5 0 5
manager 1 0 1
manager, 1 0 1
managers 1 0 1
manger, 1 0 1
many 8 0 8
many? 1 0 1
marinated 1 0 1
mark 2 0 2
mark. 1 0 1
marrying 1 0 1
martini 1 0 1
masquerading 1 0 1
match 1 0 1
may 4 0 4
maybe 3 0 3
me 21 0 21
me. 2 0 2
meal 6 0 6
meal, 2 0 2
meal. 7 0 7
meals 1 0 1
means 1 0 1
measure. 1 0 1
meat 3 0 3
meat/game 1 0 1
mediocre 1 0 1
mediocre, 1 0 1
mediocre. 1 0 1
meet 1 0 1
meets 1 0 1
meh. 1 0 1
melt 1 0 1
melted, 1 0 1
memorable. 1 0 1
memory. 1 0 1
men 3 0 3
mention, 1 0 1
menu 8 0 8
menu! 1 0 1
menu, 2 0 2
menu. 3 0 3
menu; 1 0 1
menu? 1 0 1
mess 1 0 1
mess. 1 0 1
mess....the 1 0 1
messages. 1 0 1
middle 1 0 1
might 1 0 1
miles 1 0 1
milk-fed 1 0 1
min 1 0 1
mind 2 0 2
minuscule 1 0 1
minute 2 0 2
misses 1 0 1
missing 1 0 1
mission 1 0 1
misspelled 1 0 1
mistake 1 0 1
mistook 1 0 1
mixed 2 0 2
models 1 0 1
mold 1 0 1
mom, 1 0 1
money 5 0 5
money. 3 0 3
months 1 0 1
months. 1 0 1
mood 2 0 2
more 6 0 6
more) 1 0 1
more,the 1 0 1
mornay 1 0 1
morning. 1 0 1
moss 1 0 1
mossy 1 0 1
most 5 0 5
mostly 1 0 1
motions 1 0 1
motivated 1 0 1
mouth 2 0 2
mouthful 1 0 1
move 1 0 1
much 11 0 11
much, 1 0 1
much. 2 0 2
much? 1 0 1
must 2 0 2
muttering 1 0 1
my 46 0 46
myself 1 0 1
myself. 1 0 1
mystery 1 0 1
mystique 1 0 1
nailed 1 0 1
name 1 0 1
narrow, 1 0 1
native 1 0 1
nature 1 0 1
near 2 0 2
nearby 1 0 1
nearly 1 0 1
need 6 0 6
needed 2 0 2
needing 1 0 1
needs 3 0 3
negligence 1 0 1
negligence. 1 0 1
nerve 1 0 1
nest, 1 0 1
never 6 0 6
new 7 0 7
new, 1 0 1
next 5 0 5
nice 6 0 6
night 13 0 13
night, 3 0 3
night. 6 0 6
no 18 0 18
noisy. 1 0 1
nondescriptive, 1 0 1
nonexistent....all 1 0 1
nor 1 0 1
normal 1 0 1
not 58 0 58
not. 2 0 2
notch, 1 0 1
note, 1 0 1
nothing 4 0 4
nothing, 1 0 1
notice 1 0 1
noticed 2 0 2
novelty 1 0 1
now 4 0 4
nowhere 1 0 1
ny 1 0 1
obliterating 1 0 1
obscure 1 0 1
occasion 2 0 2
occasion. 1 0 1
occupancy 1 0 1
occurred 1 0 1
octopus 1 0 1
oddly 1 0 1
of 108 0 108
off 6 0 6
off-flavored 1 0 1
off-putting. 1 0 1
off. 1 0 1
offered 2 0 2
oh, 1 0 1
ok 1 0 1
ok, 1 0 1
ok. 1 0 1
old 3 0 3
on 45 0 45
on, 1 0 1
on. 2 0 2
one 28 0 28
one. 2 0 2
only 15 0 15
open 4 0 4
opened 1 0 1
opinion. 1 0 1
optimist 1 0 1
option 1 0 1
option), 1 0 1
options 1 0 1
or 27 0 27
order 4 0 4
order!! 1 0 1
ordered 5 0 5
ordering 1 0 1
ordering...I 1 0 1
ordinary, 1 0 1
organic 1 0 1
orgasmic, 1 0 1
original 1 0 1
other 4 0 4
other, 1 0 1
others 5 0 5
ounce, 1 0 1
ounces 1 0 1
our 10 0 10
out 31 0 31
out, 1 0 1
out. 4 0 4
outside 3 0 3
outside, 3 0 3
outside. 2 0 2
over 5 0 5
over-priced. 1 0 1
over. 1 0 1
overbearing 1 0 1
overcooked 1 0 1
overcooked. 1 0 1
overhaul 2 0 2
overlooked 1 0 1
overly 1 0 1
overpaid 1 0 1
overpowered 1 0 1
overpowering. 1 0 1
overpriced 4 0 4
overpriced. 1 0 1
overrated 1 0 1
overwrought 1 0 1
own 2 0 2
own, 1 0 1
owners 1 0 1
packed 2 0 2
paid 1 0 1
pairing 3 0 3
pairings 2 0 2
palate 1 0 1
pansies 1 0 1
par 1 0 1
parents. 2 0 2
parfait) 1 0 1
park 1 0 1
parking 7 0 7
parking, 1 0 1
part 4 0 4
particularly 1 0 1
parting 1 0 1
partner. 1 0 1
parts 1 0 1
parts. 1 0 1
pass 1 0 1
pass. 1 0 1
passed 1 0 1
passion 1 0 1
past 2 0 2
pasta 3 0 3
pastor 2 0 2
pathetic 1 0 1
patronizing. 1 0 1
pay 6 0 6
paying 2 0 2
people 10 0 10
people) 1 0 1
people, 2 0 2
people. 1 0 1
pepper 1 0 1
per 5 0 5
perfectly 3 0 3
periods. 1 0 1
person 4 0 4
person. 3 0 3
personally. 1 0 1
phone 1 0 1
phone. 1 0 1
photos 2 0 2
pick 1 0 1
picked 1 0 1
pico 1 0 1
piece 3 0 3
pieces 1 0 1
pieces, 1 0 1
pig 3 0 3
pig, 1 0 1
pile 1 0 1
pizza 1 0 1
place 28 0 28
place, 3 0 3
place- 1 0 1
place. 3 0 3
places 2 0 2
places, 1 0 1
plainly 1 0 1
plans 1 0 1
plant 1 0 1
plate 2 0 2
plate, 1 0 1
plate. 1 0 1
plates. 1 0 1
plates?), 1 0 1
pleasant 1 0 1
pleasant. 2 0 2
please 1 0 1
pleasure 1 0 1
#
